,amplitude,c_-1,c_0,c_1
0,(-0.30867447869609854+0j),(0.22948709371276915-0.06429597990899144j),(-0.9964447796408338-0.30906683526444073j),(0.038130674092695827+0.08751675168840597j)
1,(-0.1150435071990244+0j),(-0.1356382645104629+0.2598901799117232j),(-0.024882284266640797+0.4505244923880744j),(0.030596450015667742-0.3464821078603474j)
2,(-0.3466388729643594+0j),(0.07489596696886669-0.454860204476035j),(0.21112140440877086-0.6521078789086658j),(-0.08876542480686435+0.23013556396250168j)
3,(0.01719593132157221+0j),(0.10800436802040873-0.25569866615226255j),(-0.3972327099345149-0.6759520548716285j),(0.14391354537034604+0.1310718570842141j)
4,(0.11159510057471284+0j),(0.30450560062357773-0.46075821421183377j),(-0.10686755363570466-0.061832279321800465j),(-0.19750662794147572+0.013719851844444186j)
5,(0.18577901515954004+0j),(0.28353902660975955-0.22522692394413896j),(-0.8153689458980558+0.2913033675137053j),(-0.31630256131717904+0.05624352933576307j)
6,(0.06608695514138668+0j),(-0.38242820510004494+0.14692461725061798j),(-0.5931809127559694+0.37704975666369966j),(0.10782793044497978-0.03899792476446141j)
7,(-0.49907416988848385+0j),(-0.21176353673952603+0.19851092495511727j),(0.4902018320738476-0.412719498827477j),(0.022291692065388974-0.036307626722779984j)
8,(0.3103266046863679+0j),(-0.07524663499408596-0.06981812982516664j),(-1.0826436369457384-0.7639471817940445j),(0.08249969387178305+0.21561774178988025j)
9,(-0.6466844509734744+0j),(0.18255955647955643+0.25377997656846507j),(0.48595750974525154+0.1413797708768464j),(0.23201757924603178+0.2291869436904571j)
